Date,P_mm,Eta-cal_mm,Q_mm
8/20/12,0,1.203105691,0.261962666
8/21/12,0,0.990547873,0.181890355
8/22/12,0,0.886630934,0.137961624
8/23/12,0,0.53679856,0.098209522
8/24/12,1.12,0.340813771,0.100801271
8/25/12,5.22,0.671895579,0.136876868
8/26/12,0.88,0.540842733,0.107131779
8/27/12,5.86,0.425174458,0.127561311
8/28/12,5.49,0.398134944,0.448916494
8/29/12,3.71,0.436648034,0.75038527
8/30/12,0.7,0.812596594,0.555163365
8/31/12,0,2.368591392,0.388539754
9/1/12,0,0.544928471,0.302731239
9/2/12,0,0.555559706,0.264005565
9/3/12,0.3,0.519900756,0.266950556
9/4/12,0.96,0.549453432,0.286928525
9/5/12,0.11,0.689654461,0.312753603
9/6/12,0,1.076120082,0.247423884
9/7/12,0,0.992806927,0.196861435
9/8/12,0,0.534906207,0.1925138
9/9/12,0.86,0.4369105,0.201439455
9/10/12,2.38,0.937340846,0.249569292
9/11/12,0,0.605085777,0.194065862
9/12/12,0,0.703697166,0.17953867
9/13/12,1.89,0.507081435,0.143897721
9/14/12,2.89,0.330168206,0.199410946
9/15/12,1.06,1.322287409,0.291563706
9/16/12,0,1.289384642,0.198679302
9/17/12,0,1.007556148,0.154433108
9/18/12,0,0.516183186,0.146086847
9/19/12,0,0.439440002,0.139358068
9/20/12,0,0.285174063,0.127154671
9/21/12,0.51,0.324672095,0.143293136
9/22/12,0.4,0.191374969,0.156286336
9/23/12,0.98,0.380583341,0.165583555
9/24/12,5.56,1.090499671,0.178535209
9/25/12,4.11,0.991914567,0.246654432
9/26/12,1.92,1.283547789,0.229350804
9/27/12,5.93,0.924105491,0.381089328
9/28/12,0.6,1.210352857,0.388994078
9/29/12,0,1.00285091,0.253928073
9/30/12,0.11,0.934695395,0.211557075
10/1/12,0,1.166683109,0.206383222
10/2/12,0,0.81669671,0.170881241
10/3/12,0.11,0.844703137,0.175695488
10/4/12,1.18,0.788747063,0.164882505
10/5/12,7.51,1.854009088,0.277336078
10/6/12,0.08,0.934873081,0.205000114
10/7/12,1.67,1.180131286,0.174510444
10/8/12,3.37,0.988129414,0.232059981
10/9/12,0.56,1.443001632,0.248347288
10/10/12,0.73,1.58530466,0.163368823
10/11/12,0.11,0.874119454,0.141755846
10/12/12,0,0.454636221,0.123755789
10/13/12,0,0.536293101,0.133742763
10/14/12,0.53,0.358260117,0.106564848
10/15/12,0.06,0.391813868,0.103641678
10/16/12,10.37,1.374378824,0.121282573
10/17/12,7.06,1.512225231,0.271349687
10/18/12,7.29,1.28453315,0.823715589
10/19/12,4.63,1.481194087,0.758508304
10/20/12,4.6,1.488082525,0.801912004
10/21/12,11.25,1.806334138,2.44973989
10/22/12,2.59,1.916090608,1.785776282
10/23/12,2.45,2.255178845,1.207569218
10/24/12,5.75,1.511808281,1.429419264
